file,text_bm,text_nn,start,end,duration,date,proceedingsfile
Stortinget-20210519-095500_302700_327500,stortingets møte er lovlig satt presidenten vil av smittevernhensyn foreslå at publikumsgalleriet holdes stengt under dagens møte og det anses vedtatt til behandling foreligger de saker som er oppført på dagsorden nummer åttitre sak en er muntlig spørretime stortinget mottok eee fredag fjortende mai meddelelse fra statsministerens kontor om at statsrådene nikolai astrup iselin nybø og dag inge ulstein,stortingets møte er lovlig satt presidenten vil av eee smittevernhensyn foreslå at publikum skal veriet haldast stengt under dagens møte og det anses vedtatt til behandling førlege dei saka som er oppført på dagsorden nummer åttitre sak ein er muntleg spørjetime stortinget mottok eee freda fjortande mai meddelelse frå statsministerens kontor om at statsrådene nicolai astrup iselin nybø og dag inge ullsheim,302.7,327.5,24.80000000000001,2021-05-19,2021-05-19_proceedings.txt
Stortinget-20210519-095500_327500_340000,vil møte til muntlig spørretime de annonserte regjeringsmedlemmene er til stede og vi er klare til å starte den muntlige spørretimen og vi starter da med første hovedspørsmål fra representanten terje aasland,vil møte til muntlig spørjetime dei avanserte regjeringsmedlemmene er til stede og vi er klare til å starte den muntlige spørretimen og vi starter da med første hovedspørsmål frå representanten terje aasland,327.5,340.0,12.5,2021-05-19,2021-05-19_proceedings.txt
Stortinget-20210519-095500_350000_377900,asland takk for det president mitt spørsmål går til næringsministeren i dag så er det nær to hundre mennesker helt eller delvis utenfor arbeidslivet uavhengig av pandemien er utfordringene som norsk næringsliv må løse i åra som kommer formidable fram til tjuefemti så må det etableres en million nye jobber ifølge finans norge fram til tjuetredve skal klimagassene kutts med femogfemti prosent,aaslandtakk for det president mitt spørsmål går til næringsministeren i dag så er det nær to hundre mennesker heilt eller delvis utanfor arbeidslivet uavhengig av pandemien er utfordringane som norsk næringsliv må løyse i åra som kommer formidable fram til tjuefemti så må det etablerast ein million nye jobbar ifølge finans noreg fram til tjuetredve skal klimagass kuttst med femogfemti prosent,350.0,377.9,27.899999999999977,2021-05-19,2021-05-19_proceedings.txt
Stortinget-20210519-095500_377900_403700,og vi har vært vitne til at fra totusenogtretten og fram til nå så har handelsbalansen svekka seg med over fire hundre milliarder kroner president dette er store utfordringer som ikke går over av seg sjøl man må sørge for at politikken legger til rette for blant annet at næringslivet kan gripe de mulighetene som er der og sette oss i stand til å møte disse utfordringene næringsministeren skreiv i finansavisa niende i tre,og vi har vore vitne til at eee frå totusenogtretten og fram til nå så handelsbalansen svekka seg med over fire hundre milliardar kroner president dette er store utfordringar som ikkje går over av seg sjøl ein må sørge for at politikken legg til rette for blant anna at næringslivet kan gripe dei mulighetene som er der og set oss i stand til å møte desse utfordringane næringsministeren skreiv i finansavisa nini tree,377.9,403.7,25.80000000000001,2021-05-19,2021-05-19_proceedings.txt
Stortinget-20210519-095500_403700_433100,når vi skal gjenreise økonomien vår og fortsette byggingen av et bærekraftig velferdssamfunn må vi fortsette å gjøre det vi er gode til flott skrevet president men det er komplett umulig å forstå ut ifra næringsministerens innlegg i finansavisen eller for så vidt andre uttalelser hun har kommet med i sin tid som næringsminister hva hun mener vi er gode til for næringsministeren sitt eneste svar er brede og generelle virkemidler som er altfor lite treffsikre og for lite målretta,når vi skal gjenreise økonomien mer og fortsette bygginga av eit berekraftig velferdssamfunn må vi fortsette å gjere det vi har gode til flott skreve president men det er komplett og umulig å forstå ut ifrå næringsministerens innlegg i finansavisa eller for så kvit andre uttalelse den har kome med i sin tid som næringsminister va ho meiner vi er gode til for næringsministerens einaste svar er bree og generelle verkemiddel som er alt for lite treffsikre og for lite målretta,403.7,433.1,29.400000000000034,2021-05-19,2021-05-19_proceedings.txt
Stortinget-20210519-095500_433100_461600,brede og generelle virkemidler er i og for seg greit nok men det kan aldri avløse konkrete og målretta tiltak spesielt innafor de områdene vi mener det er naturlig å satse på og hvor norge og norsk næringsliv har særskilte fortrinn to hundre tusen utenfor arbeidslivet president en million nye jobber innen tjuefemti kutt i klimagassutslippene med femogfemti prosent og en betydelig svekka handelsbalanse er store utfordringer disse utfordringene kan kun møtes med en aktiv næringspolitikk,breve og generelle verkemiddel er i og for sei greit nok men det kan aldri avløyse konkrete og målretta tiltak spesielt innanfor dei områdene vi meiner det er naturleg å satse på og vår noreg og norsk næringsliv har særskilde forsvinn to hundre tusen utanfor arbeidslivet president ein million nye jobbar innan tjuefemti kutt i klimagassutsleppa med femogfemti prosent og ein betydeleg sekta handelsbalanse er store utfordringar desse utfordringane kan kun møtast med ein aktiv næringspolitikk,433.1,461.6,28.5,2021-05-19,2021-05-19_proceedings.txt
Stortinget-20210519-095500_461600_489900,og kan ikke løses kun av brede generelle og til dels passive virkemidler vi ser at landet har rundt oss jobber langt mer målretta med skreddersydde tiltak for å få opp eksporten få opp eee antall jobber og sikre nye inntekter til landet vi eee mister posisjon hver eneste dag likevel foreslår regjeringen å vri virkemiddelapparatet med brede virkemidler og president mitt spørsmål er hva betyr dette for norsk næringsliv i praksisstatsråd iselin nybø,og kan ikkje løysast kunna bree generelle og til dels passive verkemiddel vi ser at landa rundt oss jobber langt meir målretta med skreddeskydde tiltak for å få opp eksporten få opp eee antal jobbar og sikre nye inntekter til landet vi eee mister posisjon mer eineste i dag likevel foreslår regjeringa å vri verkemiddelapparatet med bree verkemiddel og president mitt spørsmål er kva betyr dette for norsk næringsliv i praksisstatsråd iselin nybø,461.6,489.9,28.299999999999955,2021-05-19,2021-05-19_proceedings.txt
Stortinget-20210519-095500_494300_522799,ærede president eee det er riktig at vi har en stor eee jobb foran også vi må få folk tilbake igjen eee i jobb etter pandemien vi må legge til rette for at det skapes nye jobber vi må øke eksporten vi må få flere bein å stå på når det kommer til eksport og regjeringen gjør allerede eee mye i dag noe av det aller viktigste en regjering kan gjøre,ærede president eee det er riktig at me har ein stor jobb foran asså me må få folk tilbake igjen eee i jobb etter pandemien me må legga til rette for at det skapast nye jobbar me må auka eksporten me må få fleire bein å stå på når det kommer til eksport og regjeringa gjer allereie eee møte i dag noko av det aller viktigaste ein regjering kan gjere,494.3,522.799,28.498999999999967,2021-05-19,2021-05-19_proceedings.txt
Stortinget-20210519-095500_522799_546500,det å ha gode rammebetingelser for næringslivet for det er ikke politikere som verken kan vedta eller skape alle disse jobbene det er næringslivet vårt det de som er jobbskaperne der ute det betyr jo for det første at vi må ha et et rimelig skattenivå i dattelandet som gjør at bedriftene kan utvikle seg eee og vokse,det er å ha gode rammebetingelser for næringslivet for det er ikkje politikarar som verken kan beta eller skapa alle desse jobbane det er næringslivet vårt det er dei som er jobbskapande der ute det betyr for det fyrste at me må ha eit eit rimeleg skattenivå i dette landet som gjer at bedriftene kan utvikla seg eee og vaksa,522.799,546.5,23.701000000000022,2021-05-19,2021-05-19_proceedings.txt
Stortinget-20210519-095500_546500_562200,så har vi noen eee noen virkemidler noen er breie noen er smalere men det å ha et godt virkemiddelapparat er å satse på forskning og utvikling er helt avgjørende når vi skal utvikle samfunnet vårt videre disse nye beina og stå opp,så har me okan eee nokon verkemiddel der nokon er breie nokon her smalare men det å ha eit godt verke midt apparat er å satsa på forsking og utvikling er heilt avgjerande når me skal utvikla samfunnet vårt vidare desse nye bein å stå,546.5,562.2,15.700000000000045,2021-05-19,2021-05-19_proceedings.txt
